stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
10398,51,5.0,97th AVE,0.635,,014es00500:_MW,-122.572918,45.608563,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
3170,5,4.2,NB I-405 (2DS011) to NB I-5 MP4.2,1.37,,252,-122.67889,45.54731,"{""bounds"": ""[)"", ""lower"": ""2015-06-15"", ""upper"": null}"
3168,1,301.32,N. Morrison Bridge (2DS070) @ NB I-5 MP301.32,0.755,,47,-122.66586,45.52099,"{""bounds"": ""[)"", ""lower"": ""2015-10-21"", ""upper"": null}"
1035,2,302.17,Wheeler (2R018) to SB I-5,0.595,,177,-122.66641,45.53295,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
3111,5,2.12,Alder (2DS009) @ NB I-405 MP2.12,0.265,,89,-122.6858,45.52218,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
3187,611,299.8,Ross Island (2DS060) SB I-5 MP299.8,4.18,,124,-122.67393,45.5006,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
3183,7,16.9,Marine Dr (2DS028) @ EB I-84 MP16.9,0.98,,293,-122.40131,45.54446,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
3164,3,21.68,Halsey (2DS004) @ NB I-205 MP21.68,0.79,,273,-122.56457,45.53488,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1047,3,18.1,Foster (2R050) to NB I-205,1.67,,467,-122.56475,45.47896,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
1119,6,2.22,Everett (2R386) to SB I-405,1.14,,64,-122.6872,45.52423,"{""bounds"": ""[)"", ""lower"": ""2015-06-15"", ""upper"": null}"
3113,2,285.28,N. Wilsonville (2DS051) @ SB I-5 MP285.28,1.765,,101,-122.76906,45.32328,"{""bounds"": ""[)"", ""lower"": ""2014-09-15"", ""upper"": null}"
3163,11,73.17,Jefferson (2DS068) @ EB US26 MP73.17,0.53,,130,-122.70289,45.51246,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
3118,2,297.6,Miles (2DS055) @ SB I-5 MP297.6,0.8,,147,-122.67722,45.47125,"{""bounds"": ""[)"", ""lower"": ""2014-09-19"", ""upper"": null}"
