stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
10590,3,13.62,Lawnfield (2DS154) at NB I-205 MP13.62,0.81,,471,-122.57208,45.42061,"{""bounds"": ""[)"", ""lower"": ""2020-01-07"", ""upper"": null}"
10584,3,21.44,Glisan Ramp (2DS151) @ NB I-205 MP21.44,0.39,,456,-122.56506,45.52837,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
10547,608,73.71,Vista Ridge (2DS108) @ EB US26 MP73.71 to SB I-405,0.545,,417,-122.69324,45.5156,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
10132,608,69.31,Camera 89 (2DS067) @ EB US26 MP69.31,33.46,,132,-122.77776,45.50797,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
10591,11,73.71,Vista Ridge (2DS108) @ EB US26 MP73.71,0.77,,414,-122.69324,45.5156,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
3209,609,69.1,NB OR 217 (2DS044) to WB US 26 MP0.08,31.8,,116,-122.7797,45.50915,"{""bounds"": ""[)"", ""lower"": ""2014-11-17"", ""upper"": null}"
10022,616,7.65,NW Expressway (E),0.915,,22,-123.16036,44.09794,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10023,616,8.48,River Rd (E),0.885,,23,-123.12804,44.09717,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10024,616,9.42,River Ave (E),0.785,,24,-123.10897,44.09619,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10025,616,10.05,Delta Hwy (E),1.12,,25,-123.09982,44.09195,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10026,616,11.66,Coburg Rd (E),1.055,,26,-123.06726,44.08781,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10027,617,11.66,Coburg Rd (W),1.055,,27,-123.06726,44.08781,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10028,617,10.05,Delta Hwy (W),1.12,,28,-123.09982,44.09195,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10029,617,9.42,River Ave (W),0.785,,29,-123.10897,44.09619,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10030,617,8.48,River Rd (W),0.885,,30,-123.12804,44.09717,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10031,617,7.65,NW Expressway (W),0.915,,31,-123.16036,44.09794,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
10123,611,0.2,Ross Island off-ramp (2DS060) @ SB I-405 MP0.2,0.885,,123,-122.67393,45.5006,"{""bounds"": ""[)"", ""lower"": ""2014-06-12"", ""upper"": null}"
10134,609,69.31,Camera 89 (2DS067) @ WB US26 MP69.31,0.89,,134,-122.77776,45.50797,"{""bounds"": ""[)"", ""lower"": ""2014-09-17"", ""upper"": null}"
10313,626,252.3,Kuebler (3DS001) @ SB I-5 MP252.3,1.0,,313,-122.99555,44.89029,"{""bounds"": ""[)"", ""lower"": ""2015-01-27"", ""upper"": null}"
10326,612,0.0,A Near Side,0.5,,326,-122.64815,42.15814,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10327,612,0.0,A Far Side,0.5,,327,-122.64815,42.15814,"{""bounds"": ""[)"", ""lower"": ""2015-07-23"", ""upper"": null}"
10328,612,0.0,B Near Side,0.5,,328,-122.61525,42.00873,"{""bounds"": ""[)"", ""lower"": ""2015-07-23"", ""upper"": null}"
10329,612,0.0,B Far Side,0.5,,329,-122.61525,42.00873,"{""bounds"": ""[)"", ""lower"": ""2015-07-23"", ""upper"": null}"
10330,612,0.0,C Near Side,0.5,,362,-122.57178,45.42128,"{""bounds"": ""[)"", ""lower"": ""2015-07-23"", ""upper"": null}"
10331,612,0.0,C Far Side,0.5,,363,-122.57178,45.42128,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10332,612,0.0,D Near Side,0.5,,332,-122.5636,45.5385,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10334,618,0.9,S. of Goodpasture (5DS003) @ NB Delta Hwy MP0.90,0.62,,334,-123.10338,44.08173,"{""bounds"": ""[)"", ""lower"": ""2015-08-05"", ""upper"": null}"
10335,618,0.66,N. of Goodpasture (5DS002) @ Delta Hwy MP0.66,0.29,,335,-123.10191,44.08501,"{""bounds"": ""[)"", ""lower"": ""2015-08-05"", ""upper"": null}"
10336,618,0.32,Beltline Hwy (5DS001) @ NB Delta Hwy MP0.32,0.49,,336,-123.09985,44.08944,"{""bounds"": ""[)"", ""lower"": ""2015-08-05"", ""upper"": null}"
10337,606,54.13,Maint West (2DS089) @ EB US26 MP54.13,1.03,,337,-121.744,45.30184,"{""bounds"": ""[)"", ""lower"": ""2018-11-27"", ""upper"": null}"
10338,607,54.13,Maint West (2DS090) @ WB US26 MP54.13,1.03,,338,-121.744,45.30184,"{""bounds"": ""[)"", ""lower"": ""2018-11-27"", ""upper"": null}"
10341,606,52.47,Govt Camp Loop West (2DS087) @ EB US26 MP52.47,0.745,,341,-121.76868,45.30263,"{""bounds"": ""[)"", ""lower"": ""2018-11-27"", ""upper"": null}"
10342,607,52.47,Govt Camp Loop West (2DS088) @ WB US26 MP52.47,0.745,,342,-121.76868,45.30263,"{""bounds"": ""[)"", ""lower"": ""2018-11-27"", ""upper"": null}"
10345,606,61.82,Frog Lake (2DS093) @ SB US26 MP61.82,4.61,,345,-121.70028,45.22876,"{""bounds"": ""[)"", ""lower"": ""2018-09-12"", ""upper"": null}"
10346,607,61.82,Frog Lake (2DS094) @ NB US26 MP61.82,4.61,,346,-121.70028,45.22876,"{""bounds"": ""[)"", ""lower"": ""2018-09-12"", ""upper"": null}"
10348,606,57.52,US26 (2DS092) @ EB OR35 MP57.52,0.905,,348,-121.71364,45.28315,"{""bounds"": ""[)"", ""lower"": ""2018-09-12"", ""upper"": null}"
10351,610,307.92,Jantzen Beach on-ramp (2DS106) @ NB I-5 MP307.92,1.205,,351,-122.6786,45.61181,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10354,611,307.92,Jantzen Beach off-ramp (2DS109) @ SB I-5 MP307.92,4.33,,354,-122.6786,45.61181,"{""bounds"": ""[)"", ""lower"": ""2015-10-09"", ""upper"": null}"
10361,10,6.33,S. OR99W (2DS033) @ SB OR 217 MP6.33,0.41,,361,-122.75655,45.43011,"{""bounds"": ""[)"", ""lower"": ""2016-03-04"", ""upper"": null}"
10374,615,279.3,Baker Valley I-84 MP279.30 EB,9.86,,374,-117.95979,45.11459,"{""bounds"": ""[)"", ""lower"": ""2016-10-19"", ""upper"": null}"
10375,614,279.3,Baker Valley I-84 MP279.30 WB,8.285,,375,-117.95979,45.11459,"{""bounds"": ""[)"", ""lower"": ""2016-10-26"", ""upper"": null}"
10376,614,298.02,Baker Valley I-84 MP298.02 WB,2.075,,376,-117.81706,44.87116,"{""bounds"": ""[)"", ""lower"": ""2016-10-26"", ""upper"": null}"
10377,615,298.02,Baker Valley I-84 MP298.02 EB,9.86,,377,-117.81706,44.87116,"{""bounds"": ""[)"", ""lower"": ""2016-10-19"", ""upper"": null}"
10378,614,294.87,Baker Valley I-84 MP294.87 WB,9.36,,378,-117.82422,44.92243,"{""bounds"": ""[)"", ""lower"": ""2016-10-26"", ""upper"": null}"
10379,1,303.1,Greeley (2DS112) to NB I-5,0.475,,379,-122.67563,45.54406,"{""bounds"": ""[)"", ""lower"": ""2016-11-16"", ""upper"": null}"
10536,607,70.99,DSR US26 @ OR216 Jct WB,10.845,,404,-121.60809,45.13251,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10537,606,70.99,DSR US26 @ OR216 Jct EB,10.845,,403,-121.60809,45.13251,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10540,607,61.77,Frog Lake South (2DS119) @ NB US26 MP61.77,2.01,,407,-121.70165,45.23011,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10541,606,61.77,Frog Lake South (2DS119) @ SB US26 MP61.77,2.01,,408,-121.70165,45.23011,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10544,617,12.16,Kings N St (W),0.75,,412,-123.05799,44.08496,"{""bounds"": ""[)"", ""lower"": ""2018-05-17"", ""upper"": null}"
10545,616,12.16,Kings N St (E),0.75,,411,-123.05799,44.08496,"{""bounds"": ""[)"", ""lower"": ""2018-05-17"", ""upper"": null}"
10548,608,73.71,Vista Ridge (2DS108) @ EB US26 MP73.71 to NB I-405,0.545,,415,-122.69324,45.5156,"{""bounds"": ""[)"", ""lower"": ""2018-05-30"", ""upper"": null}"
10549,608,73.71,Vista Ridge (2DS108) @ EB US26 MP73.71 to SW Market St,0.545,,416,-122.69324,45.5156,"{""bounds"": ""[)"", ""lower"": ""2018-05-30"", ""upper"": null}"
10564,607,57.8,US26 (2DS118) @ SB OR35 MP57.80,2.125,,434,-121.70985,45.28374,"{""bounds"": ""[)"", ""lower"": ""2018-09-12"", ""upper"": null}"
10565,606,57.8,US26 (2DS118) @ NB OR35 MP57.80,2.125,,435,-121.70985,45.28374,"{""bounds"": ""[)"", ""lower"": ""2018-09-12"", ""upper"": null}"
10572,4,6.89,N. of 10th (2DS137) @ SB I-205 MP6.89,0.675,,448,-122.64314,45.34888,"{""bounds"": ""[)"", ""lower"": ""2019-03-19"", ""upper"": null}"
10574,4,6.09,S. of 10th (2DS136) @ SB I-205 MP6.09,0.43,,447,-122.65719,45.3496,"{""bounds"": ""[)"", ""lower"": ""2019-03-19"", ""upper"": null}"
230,3,24.82,WB Airport Way (2R056) to NB I-205,0.755,,364,-122.54757,45.57207,"{""bounds"": ""[)"", ""lower"": ""2016-05-24"", ""upper"": null}"
1068,9,4.65,Greenburg (2R337) to NB OR 217,0.79,,5,-122.77842,45.44438,"{""bounds"": ""[)"", ""lower"": ""2017-07-13"", ""upper"": null}"
1019,1,303.88,Going (2R002) to NB I-5,0.465,,166,-122.67791,45.5546,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1005,1,290.54,Lower Boones (2R311) to NB I-5,0.92,,81,-122.74592,45.39715,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,0.95,,297,-122.56457,45.53488,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1083,11,64.34,NB 185th Slip (2R376) to EB US 26,0.805,,440,-122.86575,45.54066,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
1069,9,5.85,SB OR 99W Slip (2R336) to NB OR 217,0.235,,4,-122.7626,45.43607,"{""bounds"": ""[)"", ""lower"": ""2017-07-13"", ""upper"": null}"
10390,100,4.71,154th,1.0,,503es00471:_MN,-122.551406,45.735259,"{""bounds"": ""[)"", ""lower"": ""2015-02-12"", ""upper"": null}"
3149,7,15.17,223rd (2DS026) @ EB I-84 MP15.17,0.77,,291,-122.43399,45.54189,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
1025,1,307.9,Jantzen Beach (2R008) to NB I-5,0.72,,172,-122.6786,45.61181,"{""bounds"": ""[)"", ""lower"": ""2015-06-18"", ""upper"": null}"
1015,1,299.7,Macadam (2R301) to NB I-5,0.95,,68,-122.67273,45.50006,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
1043,3,12.94,Or 212/224 (2R045) to NB I-205,1.285,,220,-122.57012,45.40764,"{""bounds"": ""[)"", ""lower"": ""2020-01-07"", ""upper"": null}"
1052,4,19.25,Division (2R031) to SB I-205,0.31,,246,-122.56581,45.50139,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
3104,4,7.6,Viewpoint (2DS003) @ SB I-205 MP7.6,0.805,,268,-122.62792,45.35128,"{""bounds"": ""[)"", ""lower"": ""2019-03-19"", ""upper"": null}"
1131,2,293.1,Haines (2R323) to SB I-5,0.94,,173,-122.74443,45.43716,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
1124,3,14.56,Sunnybrook(2R053) to NB I-205,0.735,,222,-122.5652,45.43359,"{""bounds"": ""[)"", ""lower"": ""2020-01-07"", ""upper"": null}"
1036,2,299.25,Hood (2R302) to SB I-5,0.3,,69,-122.67383,45.49528,"{""bounds"": ""[)"", ""lower"": ""2014-04-15"", ""upper"": null}"
1128,11,62.8,NB Cornelius Pass Rd Slip (2R397) to EB US 26,0.91,,438,-122.90044,45.55416,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
1140,3,23.41,Columbia (2R024) to NB I-205,0.775,,229,-122.56045,45.56269,"{""bounds"": ""[)"", ""lower"": ""2016-05-24"", ""upper"": null}"
1085,11,65.9,Cornell (2R372) to EB US 26,1.53,,195,-122.83643,45.52964,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
3103,3,7.6,Viewpoint (2DS003) @ NB I-205 MP7.6,0.835,,264,-122.62792,45.35128,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
3144,8,12.16,162nd (2DS023) @ WB I-84 MP12.16,0.785,,305,-122.49509,45.54217,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
3167,1,296.9,Terwilliger (2DS054) @ NB I-5 MP297.3,0.4,,154,-122.68902,45.47024,"{""bounds"": ""[)"", ""lower"": ""2014-09-25"", ""upper"": null}"
1006,1,291.61,Carman (2R316) to NB I-5,0.355,,82,-122.74276,45.40912,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
3156,10,1.5,Canyon (2DS062) @ SB OR 217 MP1.5,0.58,,51,-122.79244,45.49098,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1141,4,23.41,Columbia (2R025) to SB I-205,0.695,,469,-122.56566,45.55856,"{""bounds"": ""[)"", ""lower"": ""2014-12-04"", ""upper"": null}"
3176,8,3.36,53rd (2DS016) @ WB I-84 MP3.36,0.395,,298,-122.60881,45.52723,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
1143,4,21.12,Glisan (2R055) to SB I-205,0.67,,465,-122.56589,45.52472,"{""bounds"": ""[)"", ""lower"": ""2014-12-03"", ""upper"": null}"
1132,5,2.3,Couch (2R389) to NB I-405,0.17,,65,-122.68612,45.52391,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
1076,10,3.5,Hall (2R331) to SB OR 217,0.475,,17,-122.78557,45.45933,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
3181,12,73.17,Jefferson (2DS068) @ WB US26 MP73.17,0.34,,136,-122.70289,45.51246,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
3143,7,12.16,162nd (2DS023) @ EB I-84 MP12.16,0.785,,288,-122.49509,45.54217,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1061,8,2.4,Sandy (2R079) to WB I-84,0.27,,208,-122.62505,45.53405,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
3147,7,14.4,207th (2DS025) @ EB I-84 MP14.4,1.065,,290,-122.44903,45.53891,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
3201,610,0.2,Ross Island (2DS060) @ NB I-405 MP0.2,146.13,,120,-122.67393,45.5006,"{""bounds"": ""[)"", ""lower"": ""2015-12-02"", ""upper"": null}"
1067,9,3.85,Scholls Ferry (2R338) to NB OR 217,0.625,,6,-122.78365,45.45571,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1109,3,8.8,SB OR 43 (2DS143) to NB I-205,0.235,,215,-122.61088,45.36222,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1123,608,73.62,"EB US 26 (2R383) to NB I-405, Market",2.2,,149,-122.69176,45.5149,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
3145,7,13.04,181st (2DS024) @ EB I-84 MP13.04,1.12,,289,-122.47686,45.54129,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
1129,12,64.24,185th (2R357) to WB US 26,1.585,,198,-122.86947,45.54298,"{""bounds"": ""[)"", ""lower"": ""2015-06-03"", ""upper"": null}"
3162,12,72.17,Zoo Interchange (2DS065) @ WB US26 MP72.17,0.64,,137,-122.71918,45.507,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
3160,12,69.31,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,0.785,,135,-122.77776,45.50797,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
3110,6,1.77,Jefferson (2DS008) @ SB I-405 MP1.77,0.22,,97,-122.68787,45.51688,"{""bounds"": ""[)"", ""lower"": ""2014-06-05"", ""upper"": null}"
3180,11,69.31,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,0.275,,133,-122.77776,45.50797,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
3122,6,4.09,SB I-5 (2DS011) to SB I-405 MP4.09,1.435,,253,-122.67889,45.54731,"{""bounds"": ""[)"", ""lower"": ""2015-06-15"", ""upper"": null}"
1146,609,69.3,Barnes (2R355) to WB US 26 Frontage,0.105,,151,-122.7805,45.50999,"{""bounds"": ""[)"", ""lower"": ""2014-09-17"", ""upper"": null}"
